Referencia;Cantidad con signo;Entradas;Salidas;Cantidad Abonada;Precio;Importe;Existencia;Precio medio;Valor del inventario oficial;Escalón de precio;Codigo Cliente;Codigo Factura;Codigo Pedido;Fecha Pedido;Hora Pedido;Fecha Factura;Serie Factura;Codigo Presupuesto;Codigo Comercial;Empresa Emisora;Pedido Web;Referencia Proveedor;Referencia Fabricante;Codigo Tarifa;Nombre Tarifa;Su Num Pedido
PHO 6142;-1;0;1;0;413.1700;413.1700;8;262.4533;2099.6264;3;57160;04-M/21-00369;01/04-M/21-00411;5-04-2021;12:04:42;5-04-2021;18;;527;4;No;AS-6042;;8;NPVM;PED2021A510C
PHO 2115;-2;0;2;0;88.4800;176.9600;2;65.7775;131.5550;3;57160;04-M/21-00369;01/04-M/21-00411;5-04-2021;12:04:42;5-04-2021;18;;527;4;No;AWMS-6415;;8;NPVM;PED2021A510C
PH 7631;-1;0;1;0;260.6700;260.6700;11;149.1526;1640.6786;3;57160;04-M/21-00369;01/04-M/21-00411;5-04-2021;12:04:42;5-04-2021;18;;527;4;No;1PE-C001022-00G;;8;NPVM;PED2021A510C
PHO 5062;-3;0;3;0;13.5600;40.6800;4;8.1200;32.4800;3;57160;04-M/21-00369;01/04-M/21-00411;5-04-2021;12:04:42;5-04-2021;18;;527;4;No;BCP0095;;8;NPVM;PED2021A510C
LOG S120-OEM;-15;0;15;1;12.4400;186.6000;0;11.6300;0.0000;3;57160;04-M/21-00369;01/04-M/21-00411;5-04-2021;12:04:42;5-04-2021;18;;527;4;No;980-000010;;8;NPVM;PED2021A510C
PHO 2106;-6;0;6;0;65.9200;395.5200;64;46.0695;2948.4480;3;57160;04-M/21-00356;01/04-M/20-01286;15-12-2020;17:23:19;30-03-2021;18;;527;4;No;AWMS-6406;;8;NPVM;PED2020A1825C
PHO 3118;-4;0;4;0;112.6700;450.6800;2;80.0999;160.1998;3;57160;04-M/21-00337;01/04-M/21-00387;24-03-2021;11:03:30;24-03-2021;18;;527;4;No;AWMS-6618;;8;NPVM;PED2021A7131
PHR 6312;-6;0;6;0;34.8300;208.9800;180;24.4730;4405.1400;3;57160;04-M/21-00317;01/04-M/21-00359;17-03-2021;17:00:44;17-03-2021;18;;527;4;No;;;8;NPVM;PED2021A383C
PH 9406;-6;0;6;0;27.4400;164.6400;0;16.2026;0.0000;3;57160;04-M/21-00317;01/04-M/21-00359;17-03-2021;17:00:44;17-03-2021;18;;527;4;No;P6B(APEX 600);APEX 600;8;NPVM;PED2021A383C
PHO 5003;-3;0;3;0;3.6400;10.9200;0;1.6600;0.0000;3;57160;04-M/21-00317;01/04-M/21-00359;17-03-2021;17:00:44;17-03-2021;18;;527;4;No;CCP1121;;8;NPVM;PED2021A383C
PHO 2112;-2;0;2;0;76.7500;153.5000;19;52.2419;992.5961;3;57160;04-M/21-00317;01/04-M/21-00359;17-03-2021;17:00:44;17-03-2021;18;;527;4;No;AWMS-6412;;8;NPVM;PED2021A383C
PH 7521;-2;0;2;0;166.2600;332.5200;6;99.2027;595.2162;3;57160;04-M/21-00317;01/04-M/21-00359;17-03-2021;17:00:44;17-03-2021;18;;527;4;No;1PE-C001018-00G;;8;NPVM;PED2021A383C
PHR 6301;-6;0;6;0;43.0600;258.3600;279;31.6801;8838.7479;3;57160;04-M/21-00317;01/04-M/21-00359;17-03-2021;17:00:44;17-03-2021;18;;527;4;No;;;8;NPVM;PED2021A383C
PH 9315;-2;0;2;0;304.2500;608.5000;0;213.1696;0.0000;3;57160;04-M/21-00307;01/04-M/21-00347;15-03-2021;18:33:10;16-03-2021;18;;527;4;No;GALLEON 1.5K RACK;;8;NPVM;PED2021A6364
PH 7530;-2;0;2;0;230.1900;460.3800;19;133.8481;2543.1139;3;57160;04-M/21-00281;01/04-M/21-00322;9-03-2021;10:47:18;9-03-2021;18;;527;4;No;1PE-C001019-00G;;8;NPVM;PED2021A5758
PH 7530;-2;0;2;0;230.1900;460.3800;23;133.8481;3078.5063;3;57160;04-M/21-00250;01/04-M/21-00277;1-03-2021;17:16:16;1-03-2021;18;;527;4;No;1PE-C001019-00G;;8;NPVM;PED2021A345C
PHO 3109;-2;0;2;0;86.7900;173.5800;58;60.2622;3495.2076;3;57160;04-M/21-00250;01/04-M/21-00277;1-03-2021;17:16:16;1-03-2021;18;;527;4;No;AWMS-6609;;8;NPVM;PED2021A345C
PH 9420;-2;0;2;0;102.9300;205.8600;0;55.9708;0.0000;3;57160;04-M/21-00250;01/04-M/21-00277;1-03-2021;17:16:16;1-03-2021;18;;527;4;No;P2B-APEX;VESTA 2000 LCD;8;NPVM;PED2021A345C
PH 9270;-1;0;1;0;1129.0700;1129.0700;0;593.6700;0.0000;3;57160;04-M/21-00231;01/04-M/21-00270;26-02-2021;12:14:06;26-02-2021;18;;527;4;No;GALLEON ONE 10K;;8;NPVM;PED2021A4911
PHO 6627;-1;0;1;0;278.2100;278.2100;11;157.1880;1729.0680;3;57160;04-M/21-00230;01/04-M/21-00269;26-02-2021;12:11:24;26-02-2021;18;;527;4;No;AS-6627;;8;NPVM;PED2021A4916
PHR 6302;-20;0;20;0;29.4600;589.2000;575;19.4872;11205.1400;3;57160;04-M/21-00216;01/04-M/21-00246;23-02-2021;11:14:07;23-02-2021;18;;527;4;No;;;8;NPVM;PED2021A268C
RF 2007;-20;0;20;0;3.4100;68.2000;0;2.4574;0.0000;3;57160;04-M/21-00216;01/04-M/21-00246;23-02-2021;11:14:07;23-02-2021;18;;527;4;No;#00489;;8;NPVM;PED2021A268C
PH 9408;-10;0;10;0;31.3000;313.0000;0;20.2387;0.0000;3;57160;04-M/21-00216;01/04-M/21-00246;23-02-2021;11:14:07;23-02-2021;18;;527;4;No;P8B(APEX 800);APEX 800;8;NPVM;PED2021A268C
YUA 107;-10;0;10;0;12.5200;125.2000;188;10.4186;1958.6968;3;57160;04-M/21-00216;01/04-M/21-00246;23-02-2021;11:14:07;23-02-2021;18;;527;4;No;NP7-12L;;8;NPVM;PED2021A268C
PH 9210;-6;0;6;0;158.5400;951.2400;0;92.7615;0.0000;3;57160;04-M/21-00216;01/04-M/21-00246;23-02-2021;11:14:07;23-02-2021;18;;527;4;No;1PE-C001401-00G;FRIGATE 1000VA/800W;8;NPVM;PED2021A268C
PHO 3109;-1;0;1;0;86.7900;86.7900;67;60.2622;4037.5674;3;57160;04-M/21-00216;01/04-M/21-00246;23-02-2021;11:14:07;23-02-2021;18;;527;4;No;AWMS-6609;;8;NPVM;PED2021A268C
PHO 4020;-2;0;2;0;1.1200;2.2400;9;0.5200;4.6800;3;57160;04-M/21-00171;01/04-M/21-00189;11-02-2021;10:34:03;11-02-2021;18;;527;4;No;JGJ0002;;8;NPVM;PED2021A199C
PH 9210;-2;0;2;0;158.5400;317.0800;0;92.7615;0.0000;3;57160;04-M/21-00171;01/04-M/21-00189;11-02-2021;10:34:03;11-02-2021;18;;527;4;No;1PE-C001401-00G;FRIGATE 1000VA/800W;8;NPVM;PED2021A199C
PH 9220;-1;0;1;0;258.6600;258.6600;0;133.6951;0.0000;3;57160;04-M/21-00171;01/04-M/21-00189;11-02-2021;10:34:03;11-02-2021;18;;527;4;No;1PE-C001402-00G;FRIGATE 2K;8;NPVM;PED2021A199C
PH 9230;-2;0;2;0;328.3300;656.6600;0;174.3170;0.0000;3;57160;04-M/21-00171;01/04-M/21-00189;11-02-2021;10:34:03;11-02-2021;18;;527;4;No;1PE-C001403-00G;;8;NPVM;PED2021A199C
PHO 2112;-2;0;2;0;76.7500;153.5000;38;52.2419;1985.1922;3;57160;04-M/21-00171;01/04-M/21-00189;11-02-2021;10:34:03;11-02-2021;18;;527;4;No;AWMS-6412;;8;NPVM;PED2021A199C
PHO 3109;-1;0;1;0;86.7900;86.7900;70;60.2622;4218.3540;3;57160;04-M/21-00171;01/04-M/21-00189;11-02-2021;10:34:03;11-02-2021;18;;527;4;No;AWMS-6609;;8;NPVM;PED2021A199C
PHO 3118;-1;0;1;0;112.6700;112.6700;19;80.0999;1521.8981;3;57160;04-M/21-00171;01/04-M/21-00189;11-02-2021;10:34:03;11-02-2021;18;;527;4;No;AWMS-6618;;8;NPVM;PED2021A199C
PHO 2118;-1;0;1;0;98.8800;98.8800;28;68.2423;1910.7844;3;57160;04-M/21-00171;01/04-M/21-00189;11-02-2021;10:34:03;11-02-2021;18;;527;4;No;AWMS-6418;;8;NPVM;PED2021A199C
PHO 3112;-2;0;2;0;91.8500;183.7000;22;64.2714;1413.9708;3;57160;04-M/21-00133;01/04-M/21-00145;3-02-2021;9:54:58;3-02-2021;18;;527;4;No;AWMS-6612;;8;NPVM;PED2021A2606
PHO 4020;-2;0;2;0;1.1200;2.2400;11;0.5200;5.7200;3;57160;04-M/21-00133;01/04-M/21-00145;3-02-2021;9:54:58;3-02-2021;18;;527;4;No;JGJ0002;;8;NPVM;PED2021A2606
PHO 2106;-2;0;2;0;65.9200;131.8400;66;44.6296;2945.5536;3;57160;04-M/21-00132;01/04-M/21-00144;3-02-2021;9:53:04;3-02-2021;18;;527;4;No;AWMS-6406;;8;NPVM;PED2021A152C
PHO 2109;-2;0;2;0;67.6200;135.2400;71;46.7310;3317.9010;3;57160;04-M/21-00132;01/04-M/21-00144;3-02-2021;9:53:04;3-02-2021;18;;527;4;No;AWMS-6409;;8;NPVM;PED2021A152C
PHO 3109;-2;0;2;0;86.7900;173.5800;75;60.2622;4519.6650;3;57160;04-M/21-00132;01/04-M/21-00144;3-02-2021;9:53:04;3-02-2021;18;;527;4;No;AWMS-6609;;8;NPVM;PED2021A152C
PHO 3112;-2;0;2;0;91.8500;183.7000;22;64.2714;1413.9708;3;57160;04-M/21-00132;01/04-M/21-00144;3-02-2021;9:53:04;3-02-2021;18;;527;4;No;AWMS-6612;;8;NPVM;PED2021A152C
PHO 3115;-2;0;2;0;103.5400;207.0800;3;72.5398;217.6194;3;57160;04-M/21-00132;01/04-M/21-00144;3-02-2021;9:53:04;3-02-2021;18;;527;4;No;AWMS-6615;;8;NPVM;PED2021A152C
PHO 3118;-2;0;2;0;112.6700;225.3400;23;80.0999;1842.2977;3;57160;04-M/21-00132;01/04-M/21-00144;3-02-2021;9:53:04;3-02-2021;18;;527;4;No;AWMS-6618;;8;NPVM;PED2021A152C
PHO 2115;-2;0;2;0;88.4800;176.9600;29;61.7876;1791.8404;3;57160;04-M/21-00132;01/04-M/21-00144;3-02-2021;9:53:04;3-02-2021;18;;527;4;No;AWMS-6415;;8;NPVM;PED2021A152C
PH 7266;1;1;0;0;20.0000;-19.0000;2;15.3092;30.6184;3;57160;04-M/21-00105;01/04-M/21-00112;28-01-2021;10:51:42;28-01-2021;18;;527;4;No;1PE-C001023-00G-CITY600;;8;NPVM;
PHO 2112;-2;0;2;0;76.7500;153.5000;48;52.2419;2507.6112;3;57160;04-M/21-00086;01/04-M/21-00082;22-01-2021;17:17:59;22-01-2021;18;;527;4;No;AWMS-6412;;8;NPVM;PED2021A122C
PHO 6627;-1;0;1;0;278.2100;278.2100;15;157.1880;2357.8200;3;57160;04-M/21-00086;01/04-M/21-00082;22-01-2021;17:17:59;22-01-2021;18;;527;4;No;AS-6627;;8;NPVM;PED2021A122C
PH 9406;-10;0;10;0;27.4400;274.4000;0;15.2915;0.0000;3;57160;04-M/21-00086;01/04-M/21-00082;22-01-2021;17:17:59;22-01-2021;18;;527;4;No;P6B(APEX 600);APEX 600;8;NPVM;PED2021A122C
PH 9408;-10;0;10;0;31.3000;313.0000;0;20.2387;0.0000;3;57160;04-M/21-00081;01/04-M/21-00077;21-01-2021;16:53:36;21-01-2021;18;;527;4;No;P8B(APEX 800);APEX 800;8;NPVM;PED2020A1853C
PH 9410;-4;0;4;0;56.3400;225.3600;0;32.8317;0.0000;3;57160;04-M/21-00081;01/04-M/21-00077;21-01-2021;16:53:36;21-01-2021;18;;527;4;No;P1B-APEX;APEX 1000 LCD;8;NPVM;PED2020A1853C
PH 7210;-2;0;2;0;44.6300;89.2600;10;28.0573;280.5730;3;57160;04-M/21-00081;01/04-M/21-00077;21-01-2021;16:53:36;21-01-2021;18;;527;4;No;1PE-C001940-00GE;;8;NPVM;PED2020A1853C
PHO 2118;-1;0;1;0;98.8800;98.8800;22;69.0745;1519.6390;3;57160;04-M/21-00081;01/04-M/21-00077;21-01-2021;16:53:36;21-01-2021;18;;527;4;No;AWMS-6418;;8;NPVM;PED2020A1853C
PHO 6122;-1;0;1;0;329.9200;329.9200;13;167.9712;2183.6256;3;57160;04-M/21-00081;01/04-M/21-00077;21-01-2021;16:53:36;21-01-2021;18;;527;4;No;AS-6022;;8;NPVM;PED2020A1853C
LOG B100;-50;0;50;0;4.1500;207.5000;0;3.5752;0.0000;3;57160;04-M/21-00061;01/04-M/21-00074;20-01-2021;9:05:59;20-01-2021;18;;527;4;No;910-003357;;8;NPVM;
PH 7521;-2;0;2;0;166.2600;332.5200;12;99.2027;1190.4324;3;57160;04-M/21-00061;01/04-M/21-00074;20-01-2021;9:05:59;20-01-2021;18;;527;4;No;1PE-C001018-00G;;8;NPVM;
PH 9220;-2;0;2;0;258.6600;517.3200;0;136.5006;0.0000;3;57160;04-M/21-00061;01/04-M/21-00074;20-01-2021;9:05:59;20-01-2021;18;;527;4;No;1PE-C001402-00G;FRIGATE 2K;8;NPVM;
DTA 016;-100;0;100;0;0.3800;38.0000;0;0.2257;0.0000;3;57160;04-M/21-00061;01/04-M/21-00074;20-01-2021;9:05:59;20-01-2021;18;;527;4;No;TUBE HY 530 - 0,5G;;8;NPVM;
PHO 6822;-1;0;1;0;240.8600;240.8600;14;143.8633;2014.0862;3;57160;04-M/21-00061;01/04-M/21-00074;20-01-2021;9:05:59;20-01-2021;18;;527;4;No;AS-6822;;8;NPVM;
PHO 6642;-1;0;1;0;324.3500;324.3500;7;169.2899;1185.0293;3;57160;04-M/21-00061;01/04-M/21-00074;20-01-2021;9:05:59;20-01-2021;18;;527;4;No;AS-6642;;8;NPVM;
PHR 6312;-10;0;10;0;34.8300;348.3000;99;22.3411;2211.7689;3;57160;04-M/21-00061;01/04-M/21-00074;20-01-2021;9:05:59;20-01-2021;18;;527;4;No;;;8;NPVM;
PHO 6132;-1;0;1;0;364.3900;364.3900;28;204.2093;5717.8604;3;57160;04-M/21-00034;01/04-M/21-00045;14-01-2021;9:51:57;14-01-2021;18;;527;4;No;AS-6032;;8;NPVM;PED2021A606
PH 9220;-1;0;1;0;230.9500;230.9500;0;136.5006;0.0000;3;57160;04-M/21-00009;01/04-M/21-00014;8-01-2021;12:17:07;8-01-2021;18;;527;4;No;1PE-C001402-00G;FRIGATE 2K;8;NPVM;PED2021A220
PA 5355;1;1;0;0;12.7000;-12.0700;0;9.8500;0.0000;3;57160;04-M/21-00007;01/04-M/21-00001;4-01-2021;10:56:21;8-01-2021;18;;527;4;No;3030003-1;;8;NPVM;
PH 9220;-1;0;1;0;230.9500;230.9500;0;136.5006;0.0000;3;57160;04-M/21-00005;01/04-M/21-00007;7-01-2021;11:32:06;8-01-2021;18;;527;4;No;1PE-C001402-00G;FRIGATE 2K;8;NPVM;PED2021A220
PH 9330;-1;0;1;0;400.0000;400.0000;0;292.5372;0.0000;3;57160;04-M/21-00001;01/04-M/21-00004;5-01-2021;10:49:13;7-01-2021;18;;527;4;No;GALLEON RM-3K RACK;;8;NPVM;PED2021A68
PHO 6622;-1;0;1;0;194.4500;194.4500;3;130.9009;392.7027;3;57160;04-M/20-01163;01/04-M/20-01285;15-12-2020;17:22:05;15-12-2020;18;;527;4;No;AS-6622;;8;NPVM;PED2020A1825C
PA 5355;-1;0;1;1;12.7000;12.7000;0;9.8500;0.0000;3;57160;04-M/20-01163;01/04-M/20-01285;15-12-2020;17:22:05;15-12-2020;18;;527;4;No;3030003-1;;8;NPVM;PED2020A1825C
PH 7631;-2;0;2;0;215.5000;431.0000;16;160.9306;2574.8896;3;57160;04-M/20-01163;01/04-M/20-01285;15-12-2020;17:22:05;15-12-2020;18;;527;4;No;1PE-C001022-00G;;8;NPVM;PED2020A1825C
PHP 2109;-6;0;6;0;55.9000;335.4000;0;41.6740;0.0000;3;57160;04-M/20-01163;01/04-M/20-01285;15-12-2020;17:22:05;15-12-2020;18;;527;4;No;WS.6409.9001;;8;NPVM;PED2020A1825C
PH 9260;-1;0;1;0;794.8400;794.8400;0;508.4659;0.0000;3;57160;04-M/20-01161;01/04-M/20-01284;15-12-2020;17:19:53;15-12-2020;18;;527;4;No;P6T - WINNER PRO+ 6K;;8;NPVM;PED2020A1852C
PHP 3118;-2;0;2;0;93.1500;186.3000;0;74.6925;0.0000;3;57160;04-M/20-01144;01/04-M/20-01254;10-12-2020;9:37:50;10-12-2020;18;;527;4;No;WM.6618.9101;;8;NPVM;PED2020A1748C
PA 5355;-10;0;10;0;12.7000;127.0000;0;9.8500;0.0000;3;57160;04-M/20-01144;01/04-M/20-01254;10-12-2020;9:37:50;10-12-2020;18;;527;4;No;3030003-1;;8;NPVM;PED2020A1748C
PH 9465;-10;0;10;0;32.2000;322.0000;0;26.2489;0.0000;3;57160;04-M/20-01144;01/04-M/20-01254;10-12-2020;9:37:50;10-12-2020;18;;527;4;No;P6N;VESTA 650 LCD;8;NPVM;PED2020A1748C
PH 9485;-10;0;10;0;41.5000;415.0000;0;31.6117;0.0000;3;57160;04-M/20-01144;01/04-M/20-01254;10-12-2020;9:37:50;10-12-2020;18;;527;4;No;P8N - VESTA 850 LCD;VESTA 850 LCD;8;NPVM;PED2020A1748C
JD 3002;-3;0;3;0;25.6500;76.9500;0;18.6400;0.0000;3;57160;04-M/20-01144;01/04-M/20-01254;10-12-2020;9:37:50;10-12-2020;18;;527;4;No;;;8;NPVM;PED2020A1748C
PHP 6127;-1;0;1;0;303.9500;303.9500;6;182.8273;1096.9638;3;57160;04-M/20-01139;01/04-M/20-01250;9-12-2020;9:50:57;9-12-2020;18;;527;4;No;GS.6027.9801;;8;NPVM;PED2020A1709C
PHO 6822;-1;0;1;0;215.0500;215.0500;19;143.8633;2733.4027;3;57160;04-M/20-01137;01/04-M/20-01248;9-12-2020;9:32:14;9-12-2020;18;;527;4;No;AS-6822;;8;NPVM;PED2020A1701C
PHP 5001;-10;0;10;0;1.2000;12.0000;0;0.6173;0.0000;3;57160;04-M/20-01118;01/04-M/20-01226;1-12-2020;12:29:46;2-12-2020;18;;527;4;No;SA.1201.0001;;8;NPVM;PED2020A1685C
PHP 5002;-7;0;7;0;2.2000;15.4000;0;1.2472;0.0000;3;57160;04-M/20-01118;01/04-M/20-01226;1-12-2020;12:29:46;2-12-2020;18;;527;4;No;SA.1202.0001;;8;NPVM;PED2020A1685C
PHP 5003;-2;0;2;0;3.2500;6.5000;0;1.6623;0.0000;3;57160;04-M/20-01118;01/04-M/20-01226;1-12-2020;12:29:46;2-12-2020;18;;527;4;No;SA.1203.0001;;8;NPVM;PED2020A1685C
PHP 5004;-2;0;2;0;4.3000;8.6000;0;2.1434;0.0000;3;57160;04-M/20-01118;01/04-M/20-01226;1-12-2020;12:29:46;2-12-2020;18;;527;4;No;SA.1204.0001;;8;NPVM;PED2020A1685C
PH 9220;-2;0;2;0;230.9500;461.9000;0;136.5006;0.0000;3;57160;04-M/20-01118;01/04-M/20-01226;1-12-2020;12:29:46;2-12-2020;18;;527;4;No;1PE-C001402-00G;FRIGATE 2K;8;NPVM;PED2020A1685C
PHP 2109;-2;0;2;0;55.9000;111.8000;0;41.6740;0.0000;3;57160;04-M/20-01118;01/04-M/20-01226;1-12-2020;12:29:46;2-12-2020;18;;527;4;No;WS.6409.9001;;8;NPVM;PED2020A1685C
PHP 3109;-2;0;2;0;71.7500;143.5000;0;52.6926;0.0000;3;57160;04-M/20-01118;01/04-M/20-01226;1-12-2020;12:29:46;2-12-2020;18;;527;4;No;WS.6609.9001;;8;NPVM;PED2020A1685C
YUA 109;-10;0;10;0;18.5000;185.0000;459;13.9537;6404.7483;3;57160;04-M/20-01118;01/04-M/20-01226;1-12-2020;12:29:46;2-12-2020;18;;527;4;No;NPW45-12;;8;NPVM;PED2020A1685C
PH 7521;-2;0;2;0;137.4500;274.9000;26;99.2027;2579.2702;3;57160;04-M/20-01096;01/04-M/20-01027;20-10-2020;13:04:57;26-11-2020;18;;527;4;No;1PE-C001018-00G;;8;NPVM;PED2020A1489C
PH 7288;-10;0;10;0;28.3000;283.0000;467;22.5916;10550.2772;3;57160;04-M/20-01095;01/04-M/20-00984;13-10-2020;11:19:37;26-11-2020;18;;527;4;No;1PE-C001939-00GE;;8;NPVM;PED2020A1412C
PH 7210;-2;0;2;0;39.8500;79.7000;119;28.0573;3338.8187;3;57160;04-M/20-01095;01/04-M/20-00984;13-10-2020;11:19:37;26-11-2020;18;;527;4;No;1PE-C001940-00GE;;8;NPVM;PED2020A1412C
PH 9230;-2;0;2;0;293.1500;586.3000;0;179.4576;0.0000;3;57160;04-M/20-01095;01/04-M/20-00984;13-10-2020;11:19:37;26-11-2020;18;;527;4;No;1PE-C001403-00G;;8;NPVM;PED2020A1412C
PHP 5062;-4;0;4;0;13.0000;52.0000;0;8.1221;0.0000;3;57160;04-M/20-01083;01/04-M/20-01189;23-11-2020;18:44:32;24-11-2020;18;;527;4;No;SG05361901;;8;NPVM;PED2020A1685C
PH 9210;-6;0;6;0;141.5500;849.3000;0;95.9455;0.0000;3;57160;04-M/20-01083;01/04-M/20-01189;23-11-2020;18:44:32;24-11-2020;18;;527;4;No;1PE-C001401-00G;FRIGATE 1000VA/800W;8;NPVM;PED2020A1685C
PH 9420;1;1;0;0;91.9000;-87.3100;0;55.0764;0.0000;3;57160;04-M/20-01082;01/04-M/20-01196;24-11-2020;16:44:18;24-11-2020;18;;527;4;No;P2B-APEX;VESTA 2000 LCD;8;NPVM;
PH 9408;-10;0;10;0;29.9500;299.5000;0;20.8790;0.0000;3;57160;04-M/20-01057;01/04-M/20-01168;18-11-2020;10:34:57;18-11-2020;18;;527;4;No;P8B(APEX 800);APEX 800;8;NPVM;PED2020A1701C
LOG K120-ES;-7;0;7;0;6.1200;42.8400;0;5.2600;0.0000;3;57160;04-M/20-01057;01/04-M/20-01168;18-11-2020;10:34:57;18-11-2020;18;;527;4;No;920-002518;;8;NPVM;PED2020A1701C
PA 1901;-50;0;50;0;2.7700;138.5000;65;1.8634;121.1210;3;57160;04-M/20-01055;01/04-M/20-01166;18-11-2020;8:58:56;18-11-2020;18;;527;4;No;CCP1350;;8;NPVM;PED2020A1685C
PHO 6618;-1;0;1;0;183.0000;183.0000;8;114.9376;919.5008;3;57160;04-M/20-01055;01/04-M/20-01166;18-11-2020;8:58:56;18-11-2020;18;;527;4;No;AS-6618;;8;NPVM;PED2020A1685C
PHP 2109;-2;0;2;0;55.9000;111.8000;0;41.4806;0.0000;3;57160;04-M/20-01055;01/04-M/20-01166;18-11-2020;8:58:56;18-11-2020;18;;527;4;No;WS.6409.9001;;8;NPVM;PED2020A1685C
PHO 6642;-1;0;1;0;268.1500;268.1500;11;169.0845;1859.9295;3;57160;04-M/20-01055;01/04-M/20-01166;18-11-2020;8:58:56;18-11-2020;18;;527;4;No;AS-6642;;8;NPVM;PED2020A1685C
PH 9410;-4;0;4;0;50.3000;201.2000;0;34.0807;0.0000;3;57160;04-M/20-01028;01/04-M/20-01130;11-11-2020;17:11:38;11-11-2020;18;;527;4;No;P1B-APEX;APEX 1000 LCD;8;NPVM;PED2020A1664C
PHO 6622;-1;0;1;0;194.4500;194.4500;7;130.9009;916.3063;3;57160;04-M/20-01028;01/04-M/20-01130;11-11-2020;17:11:38;11-11-2020;18;;527;4;No;AS-6622;;8;NPVM;PED2020A1664C
PHR 6312;-12;0;12;0;31.1000;373.2000;142;22.3411;3172.4362;3;57160;04-M/20-01028;01/04-M/20-01130;11-11-2020;17:11:38;11-11-2020;18;;527;4;No;;;8;NPVM;PED2020A1664C
PH 9310;-1;0;1;0;214.0500;214.0500;0;172.1978;0.0000;3;57160;04-M/20-01028;01/04-M/20-01130;11-11-2020;17:11:38;11-11-2020;18;;527;4;No;GALLEON RM-1K;;8;NPVM;PED2020A1664C
PH 9330;-2;0;2;0;400.0000;800.0000;0;292.5372;0.0000;3;57160;04-M/20-01028;01/04-M/20-01130;11-11-2020;17:11:38;11-11-2020;18;;527;4;No;GALLEON RM-3K RACK;;8;NPVM;PED2020A1664C
PHP 2112;-1;0;1;0;63.4500;63.4500;0;47.3445;0.0000;3;57160;04-M/20-01021;01/04-M/20-01082;3-11-2020;11:21:29;10-11-2020;18;;527;4;No;WS.6412.9001;;8;NPVM;PED2020A1619C
PH 9210;-5;0;5;0;141.5500;707.7500;0;95.9455;0.0000;3;57160;04-M/20-01015;01/04-M/20-01113;9-11-2020;11:02:23;9-11-2020;18;;527;4;No;1PE-C001401-00G;FRIGATE 1000VA/800W;8;NPVM;PED2020A1630C
PH 9406;-10;0;10;0;24.5000;245.0000;0;16.3777;0.0000;3;57160;04-M/20-01015;01/04-M/20-01113;9-11-2020;11:02:23;9-11-2020;18;;527;4;No;P6B(APEX 600);APEX 600;8;NPVM;PED2020A1630C
PH 9220;-1;0;1;0;230.9500;230.9500;0;138.3765;0.0000;3;57160;04-M/20-01014;01/04-M/20-01112;9-11-2020;11:00:25;9-11-2020;18;;527;4;No;1PE-C001402-00G;FRIGATE 2K;8;NPVM;PED2020A1640C
PHO 6642;-1;0;1;0;268.1500;268.1500;13;169.0845;2198.0985;3;57160;04-M/20-00998;01/04-M/20-01096;4-11-2020;16:57:31;4-11-2020;18;;527;4;No;AS-6642;;8;NPVM;PED2020A1640C
PHO 6622;-2;0;2;0;194.4500;388.9000;8;130.9009;1047.2072;3;57160;04-M/20-00985;01/04-M/20-01081;3-11-2020;11:18:22;3-11-2020;18;;527;4;No;AS-6622;;8;NPVM;PED2020A1619C
PHO 6642;-1;0;1;0;268.1500;268.1500;14;169.0845;2367.1830;3;57160;04-M/20-00985;01/04-M/20-01081;3-11-2020;11:18:22;3-11-2020;18;;527;4;No;AS-6642;;8;NPVM;PED2020A1619C
PHP 2109;-1;0;1;0;55.9000;55.9000;0;41.4806;0.0000;3;57160;04-M/20-00985;01/04-M/20-01081;3-11-2020;11:18:22;3-11-2020;18;;527;4;No;WS.6409.9001;;8;NPVM;PED2020A1619C
PHP 3115;-1;0;1;0;85.6000;85.6000;0;69.2110;0.0000;3;57160;04-M/20-00985;01/04-M/20-01081;3-11-2020;11:18:22;3-11-2020;18;;527;4;No;WS.6615.9101-LS;;8;NPVM;PED2020A1619C
PHO 5260;-6;0;6;0;7.4000;44.4000;53;4.1980;222.4940;3;57160;04-M/20-00985;01/04-M/20-01081;3-11-2020;11:18:22;3-11-2020;18;;527;4;No;CCP0029;;8;NPVM;PED2020A1619C
LB 5606;-2;0;2;0;5.7400;11.4800;0;4.1743;0.0000;3;57160;04-M/20-00985;01/04-M/20-01081;3-11-2020;11:18:22;3-11-2020;18;;527;4;No;AK-1002-B;;8;NPVM;PED2020A1619C
LB 5612;-2;0;2;0;5.4200;10.8400;2;3.9447;7.8894;3;57160;04-M/20-00985;01/04-M/20-01081;3-11-2020;11:18:22;3-11-2020;18;;527;4;No;AK-1001-B;;8;NPVM;PED2020A1619C
PH 9410;-1;0;1;0;50.3000;50.3000;0;34.0807;0.0000;3;57160;04-M/20-00980;01/04-M/20-01072;30-10-2020;10:07:08;30-10-2020;18;;527;4;No;P1B-APEX;APEX 1000 LCD;8;NPVM;PED2020A1607C
PHP 3112;-2;0;2;0;75.9000;151.8000;0;57.1208;0.0000;3;57160;04-M/20-00979;01/04-M/20-01071;30-10-2020;10:02:43;30-10-2020;18;;527;4;No;WS.6612.9101;;8;NPVM;PED2020A1557C
