Referencia;Cantidad con signo;Entradas;Salidas;Cantidad Abonada;Precio;Importe;Existencia;Precio medio;Valor del inventario oficial;Escalón de precio;Codigo Cliente;Codigo Factura;Codigo Pedido;Fecha Pedido;Hora Pedido;Fecha Factura;Serie Factura;Codigo Presupuesto;Codigo Comercial;Empresa Emisora;Pedido Web;Referencia Proveedor;Referencia Fabricante;Codigo Tarifa;Nombre Tarifa;Su Num Pedido
LB 2011;-20;0;20;0;3.6800;73.6000;109;2.6492;288.7628;3;57160;04-M/22-00130;01/04-M/22-00148;1-03-2022;9:44:14;2-03-2022;18;;527;4;No;AK-1101-B;;8;NPVM;PED2022A241C
LB 5606;-4;0;4;0;8.7000;34.8000;5;6.3244;31.6220;3;57160;04-M/22-00130;01/04-M/22-00148;1-03-2022;9:44:14;2-03-2022;18;;527;4;No;AK-1002-B;;8;NPVM;PED2022A241C
PA 5355;-4;0;4;0;16.1900;64.7600;11;12.5600;138.1600;3;57160;04-M/22-00130;01/04-M/22-00148;1-03-2022;9:44:14;2-03-2022;18;;527;4;No;3030003-1;;8;NPVM;PED2022A241C
PA 5095;-10;0;10;0;5.3800;53.8000;1;4.2000;4.2000;3;57160;04-M/22-00130;01/04-M/22-00148;1-03-2022;9:44:14;2-03-2022;18;;527;4;No;3060001-1;;8;NPVM;PED2022A241C
PC 9100;-7;0;7;0;3.9900;27.9300;0;2.2800;0.0000;3;57160;04-M/22-00091;01/04-M/22-00115;15-02-2022;17:08:58;15-02-2022;18;;527;4;No;ZZ-SCREW02;;8;NPVM;
PP 9100;-300;0;300;0;0.9600;288.0000;6;0.7082;4.2492;3;57160;04-M/22-00091;01/04-M/22-00115;15-02-2022;17:08:58;15-02-2022;18;;527;4;No;CN-M6;;8;NPVM;
PH 9220;-2;0;2;0;240.8100;481.6200;123;156.7958;19285.8834;3;57160;04-M/22-00090;01/04-M/22-00113;15-02-2022;13:09:08;15-02-2022;18;;527;4;No;1PE-C001402-00G;FRIGATE 2K;8;NPVM;PED2022A241C
PHC 5092;-1;0;1;0;38.3500;38.3500;4;27.9922;111.9688;3;57160;04-M/22-00090;01/04-M/22-00113;15-02-2022;13:09:08;15-02-2022;18;;527;4;No;F2210HREK;;8;NPVM;PED2022A241C
PH 9210;-2;0;2;0;171.2100;342.4200;193;111.4773;21515.1189;3;57160;04-M/22-00090;01/04-M/22-00113;15-02-2022;13:09:08;15-02-2022;18;;527;4;No;1PE-C001401-00G;FRIGATE 1000VA/800W;8;NPVM;PED2022A241C
PH 9260;-1;0;1;0;945.2200;945.2200;19;572.8160;10883.5040;3;57160;04-M/22-00090;01/04-M/22-00113;15-02-2022;13:09:08;15-02-2022;18;;527;4;No;P6T - WINNER PRO+ 6K;;8;NPVM;PED2022A241C
PH 9478;-2;0;2;0;53.2500;106.5000;75;38.4408;2883.0600;3;57160;04-M/22-00090;01/04-M/22-00113;15-02-2022;13:09:08;15-02-2022;18;;527;4;No;AKA 800;;8;NPVM;PED2022A241C
PHC 2112;-1;0;1;0;64.3500;64.3500;24;46.8384;1124.1216;3;57160;04-M/22-00071;01/04-M/22-00084;8-02-2022;13:47:16;8-02-2022;18;;527;4;No;FORM SH-12U;;8;NPVM;PED2022A69C
PH 9485;-5;0;5;0;49.2500;246.2500;127;33.7843;4290.6061;3;57160;04-M/22-00071;01/04-M/22-00084;8-02-2022;13:47:16;8-02-2022;18;;527;4;No;P8N - VESTA 850 LCD;VESTA 850 LCD;8;NPVM;PED2022A69C
PH 7512;-2;0;2;0;160.6100;321.2200;36;105.4506;3796.2216;3;57160;04-M/22-00071;01/04-M/22-00084;8-02-2022;13:47:16;8-02-2022;18;;527;4;No;1PE-C001017-00G;;8;NPVM;PED2022A69C
PH 9408;-10;0;10;0;33.3000;333.0000;230;23.7051;5452.1730;3;57160;04-M/22-00071;01/04-M/22-00084;8-02-2022;13:47:16;8-02-2022;18;;527;4;No;P8B(APEX 800);APEX 800;8;NPVM;PED2022A69C
PH 9210;-1;0;1;0;171.2100;171.2100;198;111.4773;22072.5054;3;57160;04-M/22-00071;01/04-M/22-00084;8-02-2022;13:47:16;8-02-2022;18;;527;4;No;1PE-C001401-00G;FRIGATE 1000VA/800W;8;NPVM;PED2022A69C
PH 9230;-1;0;1;0;359.1700;359.1700;132;215.8607;28493.6124;3;57160;04-M/22-00071;01/04-M/22-00084;8-02-2022;13:47:16;8-02-2022;18;;527;4;No;1PE-C001403-00G;;8;NPVM;PED2022A69C
PC 9100;-5;0;5;0;0.6400;3.2000;36;0.4549;16.3764;3;57160;04-M/22-00069;01/04-M/22-00082;8-02-2022;9:47:48;8-02-2022;18;;527;4;No;ZZ-SCREW02;;8;NPVM;PED2022A2907
PHC 5655;-1;0;1;0;74.0500;74.0500;0;50.1111;0.0000;3;57160;04-M/22-00069;01/04-M/22-00082;8-02-2022;9:47:48;8-02-2022;18;;527;4;No;F024F4DT;;8;NPVM;PED2022A2907
PHC 8142;-1;0;1;0;485.0300;485.0300;1;353.5216;353.5216;3;57160;04-M/22-00068;01/04-M/22-00081;8-02-2022;9:37:04;8-02-2022;18;;527;4;No;FORM BETA-42U80100;;8;NPVM;PED2022A2907
PHC 9085;-1;0;1;0;23.2500;23.2500;162;13.2582;2147.8284;3;57160;04-M/22-00068;01/04-M/22-00081;8-02-2022;9:37:04;8-02-2022;18;;527;4;No;F041TKR;;8;NPVM;PED2022A2907
PH 9220;-1;0;1;0;240.8100;240.8100;148;156.7958;23205.7784;3;57160;04-M/22-00035;01/04-M/22-00039;25-01-2022;9:47:00;25-01-2022;18;;527;4;No;1PE-C001402-00G;FRIGATE 2K;8;NPVM;PED2022A1374
PH 9410;-2;0;2;0;57.4800;114.9600;214;39.4344;8438.9616;3;57160;04-M/22-00034;01/04-M/22-00038;25-01-2022;9:45:36;25-01-2022;18;;527;4;No;P1B-APEX;APEX 1000 LCD;8;NPVM;PED2021A1870C
