Serie, ejercicio y nº factura;Fecha;Base general;Beneficio;Total factura
03-N/19-03520;2019-12-02;102.26;34.10;122.50
03-N/19-03210;2019-11-04;152.82;41.04;183.06
03-N/19-03024;2019-10-16;69.25;23.25;82.96
03-N/19-02963;2019-10-10;14.20;10.28;17.01
03-N/19-02855;2019-10-02;34.99;14.64;41.91
03-N/19-02704;2019-09-18;30.40;15.10;36.42
03-N/19-02689;2019-09-17;8.18;3.85;9.80
03-N/19-02681;2019-09-17;93.88;34.15;112.46
03-N/19-02602;2019-09-09;121.12;44.66;145.09
03-N/19-02233;2019-07-24;258.05;43.04;309.12
03-N/19-02170;2019-07-17;65.02;19.46;77.89
03-N/19-01988;2019-07-01;15.73;11.05;18.84
03-N/19-01922;2019-06-25;118.30;36.99;141.72
03-N/19-01658;2019-05-28;235.80;68.51;282.46
03-N/19-01388;2019-04-30;38.22;20.84;45.79
03-N/19-01208;2019-04-10;29.70;16.67;35.57
03-N/19-00729;2019-03-04;107.28;37.87;128.51
03-N/19-00370;2019-02-04;29.50;16.73;35.34
03-N/19-00298;2019-01-29;130.13;40.38;155.88
03-N/18-04107;2018-12-05;41.58;16.36;49.80
03-N/18-03903;2018-11-21;66.70;27.87;79.90
03-N/18-03746;2018-11-12;19.54;13.67;23.40
03-N/18-03586;2018-10-29;112.42;42.06;134.67
03-N/18-03500;2018-10-22;100.14;34.76;119.96
03-N/18-03393;2018-10-11;50.61;25.97;60.62
03-N/18-03181;2018-09-26;9.30;6.89;11.14
03-N/18-03129;2018-09-24;141.96;43.90;170.05
03-N/18-02832;2018-08-29;180.32;69.34;216.01
03-N/18-02599;2018-07-26;96.58;37.71;115.69
03-N/18-02409;2018-07-12;102.62;25.76;122.92
03-N/18-02351;2018-07-05;29.62;17.82;35.48
03-N/18-02096;2018-06-14;21.60;8.38;25.87
03-N/18-02080;2018-06-14;27.38;13.87;32.80
03-N/18-02041;2018-06-11;16.84;11.95;20.17
03-N/18-01966;2018-06-05;34.66;16.67;41.52
03-N/18-01802;2018-05-24;118.30;36.64;141.72
03-N/18-01646;2018-05-10;25.60;15.84;30.66
03-N/18-01125;2018-03-22;21.66;13.15;25.94
03-N/18-00904;2018-03-08;53.00;14.38;63.49
03-N/18-00840;2018-03-05;18.00;11.32;21.56
03-N/18-00771;2018-02-26;141.00;43.18;168.90
03-N/18-00493;2018-02-07;63.10;32.47;75.59
03-N/18-00413;2018-02-01;6.03;2.37;7.22
03-N/18-00368;2018-01-29;28.90;14.85;34.62
03-N/18-00275;2018-01-23;141.00;43.41;168.90
03-N/18-00098;2018-01-10;68.40;20.17;81.94
03-N/18-00074;2018-01-08;16.98;9.89;20.34
03-N/18-00062;2018-01-08;64.10;11.76;76.79
03-N/17-04290;2017-12-29;39.64;23.72;47.48
03-N/17-04265;2017-12-27;103.10;47.55;123.50
03-N/17-04100;2017-12-12;138.84;42.05;166.31
03-N/17-03931;2017-11-24;37.76;21.32;45.23
03-N/17-03896;2017-11-22;87.33;36.47;104.62
