Serie, ejercicio y nº factura;Fecha;Base general;Beneficio;Total factura
02-N/12-13460;2012-09-13;400.00;117.51;479.16
02-N/12-13433;2012-09-12;203.14;64.09;243.34
02-N/12-13314;2012-09-10;124.26;56.57;148.85
02-N/12-12966;2012-08-31;110.74;64.56;129.36
02-N/12-12913;2012-08-30;215.34;59.22;251.56
02-N/12-12171;2012-08-07;66.65;32.06;77.86
02-N/12-12088;2012-08-02;314.50;99.89;367.40
02-N/12-11876;2012-07-27;330.80;185.73;386.44
02-N/12-11570;2012-07-19;248.20;85.69;289.95
02-N/12-11503;2012-07-18;127.20;71.64;148.60
02-N/12-11027;2012-07-09;109.18;56.74;127.55
02-N/12-10767;2012-07-03;109.52;59.23;127.94
02-N/12-10703;2012-07-02;448.75;231.14;524.23
02-N/12-10440;2012-06-26;338.79;151.93;395.77
02-N/12-10166;2012-06-19;400.10;203.46;467.40
02-N/12-10038;2012-06-15;302.40;180.22;353.27
02-N/12-09961;2012-06-14;240.00;70.77;280.37
02-N/12-09769;2012-06-11;218.72;84.05;255.51
02-N/12-09616;2012-06-08;-243.84;-145.99;-287.73
02-N/12-09598;2012-06-06;348.83;131.57;407.50
02-N/12-09331;2012-05-31;219.00;42.69;255.84
02-N/12-09251;2012-05-30;206.99;69.56;241.81
02-N/12-09076;2012-05-25;259.82;154.76;303.52
02-N/12-08938;2012-05-23;392.16;120.46;458.12
02-N/12-08717;2012-05-18;296.78;165.29;346.70
02-N/12-08404;2012-05-14;432.00;132.48;504.66
02-N/12-07972;2012-05-04;224.60;99.76;262.37
02-N/12-07930;2012-05-03;136.02;54.31;158.90
02-N/12-07636;2012-04-26;232.15;101.69;271.20
02-N/12-07399;2012-04-23;96.38;47.99;112.60
02-N/12-07320;2012-04-20;207.25;123.12;242.11
02-N/12-06926;2012-04-16;81.32;35.67;95.00
02-N/12-06567;2012-04-10;316.18;111.18;369.36
02-N/12-06171;2012-03-30;320.55;91.31;374.46
02-N/12-05919;2012-03-27;257.94;83.88;301.32
02-N/12-05819;2012-03-26;128.65;73.07;150.28
02-N/12-05732;2012-03-23;62.40;32.39;72.90
02-N/12-05674;2012-03-23;383.20;161.44;447.66
02-N/12-05664;2012-03-23;155.70;96.93;181.89
02-N/12-05429;2012-03-20;114.00;74.67;133.17
02-N/12-05307;2012-03-19;322.67;141.69;376.94
02-N/12-05048;2012-03-14;96.96;62.16;113.27
02-N/12-04813;2012-03-09;384.15;111.25;448.77
02-N/12-04629;2012-03-07;88.40;47.80;103.27
02-N/12-04389;2012-03-05;148.15;83.46;173.07
02-N/12-04069;2012-02-29;89.67;40.26;104.75
02-N/12-03461;2012-02-20;297.12;177.19;347.10
02-N/12-03377;2012-02-17;99.04;60.91;115.70
02-N/12-03257;2012-02-16;205.15;80.00;239.66
02-N/12-03066;2012-02-14;98.25;62.26;114.78
02-N/12-02922;2012-02-13;86.41;47.41;100.95
02-N/12-02734;2012-02-09;288.16;150.04;336.63
02-N/12-02712;2012-02-09;254.64;96.20;297.47
02-N/12-02560;2012-02-07;134.81;61.93;157.48
02-N/12-02430;2012-02-06;113.10;66.92;132.12
02-N/12-02303;2012-02-02;181.30;70.71;211.80
02-N/12-02171;2012-02-01;81.86;39.81;95.63
02-N/12-02071;2012-01-31;303.38;149.86;354.41
02-N/12-01528;2012-01-24;72.74;41.94;84.97
02-N/12-01300;2012-01-20;189.05;65.08;220.85
02-N/12-01247;2012-01-20;218.40;74.77;255.14
02-N/12-01215;2012-01-19;144.15;37.65;168.40
02-N/12-01092;2012-01-18;191.83;77.32;224.09
02-N/12-00797;2012-01-13;131.52;65.96;153.64
02-N/12-00589;2012-01-11;234.00;67.66;273.36
02-N/12-00578;2012-01-11;247.70;140.54;289.36
02-N/12-00375;2012-01-09;75.30;39.58;87.97
02-N/12-00339;2012-01-05;345.42;175.80;403.52
02-N/12-00173;2012-01-04;104.96;47.36;122.61
02-N/12-00067;2012-01-02;227.60;86.51;265.88
02-N/11-23415;2011-12-30;153.02;0.00;178.76
02-N/11-23353;2011-12-29;115.80;0.00;135.28
02-N/11-23216;2011-12-28;318.40;0.00;371.96
02-N/11-22788;2011-12-20;65.32;0.00;76.31
02-N/11-22660;2011-12-19;135.60;0.00;158.40
02-N/11-22547;2011-12-16;640.34;0.00;748.05
02-N/11-22117;2011-12-12;187.81;0.00;219.40
02-N/11-21300;2011-11-28;167.65;0.00;195.84
02-N/11-20750;2011-11-21;378.40;0.00;442.05
02-N/11-20560;2011-11-17;-80.51;0.00;-95.00
02-N/11-20435;2011-11-15;169.36;0.00;197.85
02-N/11-20322;2011-11-14;109.50;0.00;127.92
02-N/11-20212;2011-11-11;265.94;0.00;310.67
02-N/11-20047;2011-11-10;681.49;0.00;796.12
02-N/11-19088;2011-10-26;205.10;0.00;239.60
02-N/11-18716;2011-10-20;66.20;0.00;77.34
02-N/11-18554;2011-10-19;314.30;0.00;367.17
02-N/11-18332;2011-10-17;81.75;0.00;95.50
02-N/11-18253;2011-10-14;281.90;0.00;329.31
02-N/11-17846;2011-10-07;124.20;0.00;145.09
02-N/11-17654;2011-10-06;137.41;0.00;160.53
02-N/11-17112;2011-09-28;157.46;0.00;183.95
02-N/11-16912;2011-09-26;69.95;0.00;81.72
02-N/11-16658;2011-09-22;133.81;0.00;156.31
02-N/11-16474;2011-09-20;70.50;0.00;82.36
02-N/11-16342;2011-09-19;576.74;0.00;673.74
02-N/11-16228;2011-09-16;345.26;0.00;403.34
02-N/11-15737;2011-09-09;173.94;0.00;203.20
02-N/11-15344;2011-09-05;170.40;0.00;199.07
02-N/11-15216;2011-09-02;397.95;0.00;464.88
02-N/11-14979;2011-08-31;79.43;0.00;92.80
02-N/11-14900;2011-08-29;101.95;0.00;119.10
02-N/11-14134;2011-08-09;61.00;0.00;71.26
02-N/11-14063;2011-08-08;255.73;0.00;298.74
02-N/11-13846;2011-08-03;78.90;0.00;92.17
02-N/11-13742;2011-08-02;142.40;0.00;166.36
02-N/11-13726;2011-08-01;42.01;0.00;49.08
02-N/11-13542;2011-07-27;498.35;0.00;582.18
02-N/11-13512;2011-07-27;96.60;0.00;112.84
02-N/11-13454;2011-07-26;369.81;0.00;432.01
02-N/11-13280;2011-07-21;135.50;0.00;158.30
02-N/11-13057;2011-07-19;240.00;0.00;280.37
02-N/11-12990;2011-07-18;90.23;0.00;105.41
02-N/11-12427;2011-07-07;298.50;0.00;348.71
02-N/11-12357;2011-07-06;167.40;0.00;195.56
02-N/11-11888;2011-06-29;228.99;0.00;267.51
02-N/11-11529;2011-06-21;62.16;0.00;72.62
02-N/11-11408;2011-06-20;67.26;0.00;78.58
02-N/11-11254;2011-06-16;145.35;0.00;169.80
02-N/11-11045;2011-06-14;87.80;0.00;102.57
02-N/11-10932;2011-06-13;177.06;0.00;206.84
02-N/11-10930;2011-06-13;202.85;0.00;236.97
02-N/11-10611;2011-06-07;20.90;0.00;24.41
02-N/11-10558;2011-06-07;335.34;0.00;391.75
02-N/11-10257;2011-06-01;67.30;0.00;78.62
02-N/11-10180;2011-06-01;276.16;0.00;322.61
02-N/11-09966;2011-05-27;114.75;0.00;134.05
02-N/11-09914;2011-05-26;112.39;0.00;131.30
02-N/11-09823;2011-05-25;70.47;0.00;82.33
02-N/11-09769;2011-05-25;363.90;0.00;425.11
02-N/11-09612;2011-05-23;206.90;0.00;241.70
02-N/11-09436;2011-05-19;257.13;0.00;300.38
02-N/11-09054;2011-05-13;82.20;0.00;96.03
02-N/11-08773;2011-05-10;248.40;0.00;290.19
02-N/11-08611;2011-05-09;316.86;0.00;370.15
02-N/11-08507;2011-05-06;244.03;0.00;285.08
02-N/11-07788;2011-04-26;95.90;0.00;112.03
02-N/11-07602;2011-04-20;134.80;0.00;157.47
02-N/11-07508;2011-04-18;164.83;0.00;192.55
02-N/11-07263;2011-04-14;193.73;0.00;226.31
02-N/11-07209;2011-04-13;198.40;0.00;231.78
02-N/11-07054;2011-04-12;445.90;0.00;520.90
02-N/11-06936;2011-04-08;154.32;0.00;180.28
02-N/11-06849;2011-04-07;489.46;0.00;571.79
02-N/11-06715;2011-04-06;370.30;0.00;432.59
02-N/11-06677;2011-04-06;241.76;0.00;282.42
02-N/11-06632;2011-04-05;217.42;0.00;254.00
02-N/11-06498;2011-04-04;198.80;0.00;232.24
02-N/11-06292;2011-03-30;232.80;0.00;271.95
02-N/11-05890;2011-03-24;141.46;0.00;165.26
02-N/11-05604;2011-03-22;199.70;0.00;233.29
02-N/11-05502;2011-03-18;66.52;0.00;77.70
02-N/11-04767;2011-03-09;400.80;0.00;468.21
02-N/11-04702;2011-03-09;275.43;0.00;321.76
02-N/11-04564;2011-03-07;223.85;0.00;261.50
02-N/11-03988;2011-02-25;101.20;0.00;118.22
02-N/11-03681;2011-02-22;162.00;0.00;189.25
02-N/11-03529;2011-02-21;65.30;0.00;76.29
02-N/11-03244;2011-02-16;109.80;0.00;128.27
02-N/11-03096;2011-02-15;314.60;0.00;367.51
02-N/11-02881;2011-02-10;68.18;0.00;79.65
02-N/11-02762;2011-02-09;434.95;0.00;508.11
02-N/11-02573;2011-02-08;603.19;0.00;704.65
02-N/11-02539;2011-02-07;94.64;0.00;110.55
02-N/11-02376;2011-02-04;346.40;0.00;404.67
02-N/11-02232;2011-02-03;-280.54;0.00;-331.04
02-N/11-02219;2011-02-02;65.04;0.00;75.98
02-N/11-02201;2011-02-02;210.60;0.00;246.02
02-N/11-01464;2011-01-24;170.48;0.00;199.16
02-N/11-01182;2011-01-19;71.20;0.00;83.18
02-N/11-00938;2011-01-17;158.50;0.00;185.17
02-N/11-00856;2011-01-17;688.08;0.00;803.82
02-N/11-00766;2011-01-14;331.80;0.00;387.61
02-N/11-00611;2011-01-12;114.43;0.00;133.68
02-N/11-00462;2011-01-11;342.00;0.00;399.52
02-N/11-00441;2011-01-11;206.50;0.00;241.24
02-N/11-00406;2011-01-10;132.00;0.00;154.20
02-N/10-18372;2010-12-28;227.45;0.00;265.71
02-N/10-17893;2010-12-20;156.00;0.00;182.24
02-N/10-17828;2010-12-20;455.40;0.00;532.00
02-N/10-17792;2010-12-17;119.84;0.00;140.00
02-N/10-17615;2010-12-15;310.75;0.00;363.02
02-N/10-17464;2010-12-14;158.76;0.00;185.46
02-N/10-17351;2010-12-13;346.20;0.00;404.43
02-N/10-16307;2010-11-25;383.08;0.00;447.52
02-N/10-16221;2010-11-25;72.00;0.00;84.11
02-N/10-16168;2010-11-24;273.42;0.00;319.41
02-N/10-15982;2010-11-22;302.30;0.00;353.15
02-N/10-15640;2010-11-17;73.00;0.00;85.28
02-N/10-15524;2010-11-16;587.65;0.00;686.49
02-N/10-15253;2010-11-12;242.60;0.00;283.40
02-N/10-14755;2010-11-05;434.01;0.00;507.01
02-N/10-14689;2010-11-04;156.70;0.00;183.05
02-N/10-14567;2010-11-03;94.02;0.00;109.83
02-N/10-14485;2010-11-02;107.78;0.00;125.91
02-N/10-14379;2010-10-29;174.15;0.00;203.44
02-N/10-14222;2010-10-27;96.00;0.00;112.15
02-N/10-13995;2010-10-25;112.12;0.00;130.98
02-N/10-13726;2010-10-20;114.79;0.00;134.10
02-N/10-13638;2010-10-19;68.70;0.00;80.25
02-N/10-13494;2010-10-18;242.60;0.00;283.40
02-N/10-13311;2010-10-14;39.60;0.00;46.26
02-N/10-12976;2010-10-07;11.70;0.00;13.66
02-N/10-12850;2010-10-06;59.40;0.00;69.40
02-N/10-12709;2010-10-04;366.00;0.00;427.56
02-N/10-12573;2010-09-30;96.04;0.00;112.19
02-N/10-12265;2010-09-24;622.84;0.00;727.60
02-N/10-12193;2010-09-23;76.53;0.00;89.40
02-N/10-11979;2010-09-21;168.90;0.00;197.31
02-N/10-11953;2010-09-21;546.38;0.00;638.29
02-N/10-11766;2010-09-16;348.20;0.00;406.77
02-N/10-11513;2010-09-13;240.90;0.00;281.42
02-N/10-11196;2010-09-06;297.00;0.00;346.96
02-N/10-11091;2010-09-02;475.60;0.00;555.59
02-N/10-10936;2010-08-30;249.70;0.00;291.70
02-N/10-10929;2010-08-30;82.67;0.00;96.57
02-N/10-10182;2010-08-04;62.75;0.00;73.30
02-N/10-10138;2010-08-03;364.60;0.00;425.92
02-N/10-10058;2010-07-30;85.70;0.00;100.11
02-N/10-09978;2010-07-29;82.15;0.00;95.97
02-N/10-09977;2010-07-29;388.86;0.00;454.26
02-N/10-09778;2010-07-23;202.45;0.00;236.51
02-N/10-09582;2010-07-19;267.41;0.00;312.39
02-N/10-09451;2010-07-15;162.20;0.00;189.48
02-N/10-09350;2010-07-14;60.66;0.00;70.86
02-N/10-09211;2010-07-09;175.24;0.00;204.72
02-N/10-09064;2010-07-07;536.52;0.00;626.76
02-N/10-09015;2010-07-06;179.25;0.00;209.40
02-N/10-08921;2010-07-02;184.44;0.00;215.47
02-N/10-08856;2010-07-01;358.30;0.00;418.57
02-N/10-08617;2010-06-25;163.63;0.00;187.91
02-N/10-08077;2010-06-15;412.55;0.00;473.77
02-N/10-07658;2010-06-04;251.36;0.00;288.67
02-N/10-07589;2010-06-02;75.50;0.00;86.71
02-N/10-07450;2010-05-31;604.97;0.00;694.75
02-N/10-07226;2010-05-26;255.35;0.00;293.25
02-N/10-07037;2010-05-21;98.15;0.00;112.72
02-N/10-06982;2010-05-20;151.14;0.00;173.57
02-N/10-06574;2010-05-12;109.37;0.00;125.60
02-N/10-06375;2010-05-07;612.45;0.00;703.34
02-N/10-06129;2010-05-04;322.08;0.00;369.88
02-N/10-06098;2010-05-03;120.72;0.00;138.63
02-N/10-06073;2010-05-03;92.44;0.00;106.16
02-N/10-05947;2010-04-29;279.80;0.00;321.32
02-N/10-05571;2010-04-21;200.50;0.00;230.26
02-N/10-05419;2010-04-19;222.60;0.00;255.63
02-N/10-05119;2010-04-13;98.98;0.00;113.67
02-N/10-05021;2010-04-12;323.45;0.00;371.46
02-N/10-05009;2010-04-09;496.60;0.00;570.29
02-N/10-04591;2010-03-30;545.10;0.00;625.99
02-N/10-04463;2010-03-26;63.84;0.00;73.31
02-N/10-04302;2010-03-24;211.60;0.00;243.00
02-N/10-04158;2010-03-22;294.57;0.00;338.28
02-N/10-04020;2010-03-18;578.95;0.00;664.87
02-N/10-03845;2010-03-16;282.04;0.00;323.90
02-N/10-03495;2010-03-09;408.30;0.00;468.90
02-N/10-03404;2010-03-08;276.70;0.00;317.76
02-N/10-03174;2010-03-03;546.21;0.00;627.27
02-N/10-02830;2010-02-24;75.00;0.00;86.13
02-N/10-02710;2010-02-23;149.71;0.00;171.92
02-N/10-02487;2010-02-18;511.41;0.00;587.31
02-N/10-02343;2010-02-17;395.12;0.00;453.76
02-N/10-02174;2010-02-12;331.50;0.00;380.70
02-N/10-02155;2010-02-11;157.00;0.00;180.30
02-N/10-01915;2010-02-08;102.00;0.00;117.14
02-N/10-01655;2010-02-03;534.34;0.00;613.64
02-N/10-01586;2010-02-02;251.25;0.00;288.54
02-N/10-01259;2010-01-27;202.39;0.00;232.43
02-N/10-01185;2010-01-26;288.55;0.00;331.37
02-N/10-01042;2010-01-25;141.88;0.00;162.93
02-N/10-00809;2010-01-20;284.64;0.00;326.88
02-N/10-00680;2010-01-18;154.02;0.00;176.88
02-N/10-00652;2010-01-18;325.65;0.00;373.97
02-N/10-00470;2010-01-13;65.82;0.00;75.59
02-N/10-00320;2010-01-12;103.98;0.00;119.41
02-N/09-13544;2009-12-28;218.65;0.00;251.09
02-N/09-13494;2009-12-23;111.00;0.00;127.47
02-N/09-13436;2009-12-22;102.60;0.00;117.82
02-N/09-13211;2009-12-17;294.80;0.00;338.55
02-N/09-13152;2009-12-16;62.10;0.00;71.32
02-N/09-12943;2009-12-14;155.05;0.00;178.06
02-N/09-12375;2009-11-30;541.28;0.00;621.61
02-N/09-12046;2009-11-24;67.88;0.00;77.95
02-N/09-11933;2009-11-20;295.00;0.00;338.78
02-N/09-11915;2009-11-20;162.10;0.00;186.16
02-N/09-11660;2009-11-16;86.82;0.00;99.70
02-N/09-11398;2009-11-11;441.00;0.00;506.44
02-N/09-11356;2009-11-10;62.40;0.00;71.66
02-N/09-11021;2009-11-03;62.76;0.00;72.07
02-N/09-10969;2009-11-02;324.14;0.00;372.24
02-N/09-10955;2009-11-02;223.10;0.00;256.21
02-N/09-10901;2009-10-30;349.87;0.00;401.79
02-N/09-10673;2009-10-26;169.70;0.00;194.88
02-N/09-10379;2009-10-20;1112.26;0.00;1277.32
02-N/09-09904;2009-10-08;106.88;0.00;122.74
02-N/09-09760;2009-10-06;459.80;0.00;528.03
02-N/09-09449;2009-09-29;351.76;0.00;403.96
02-N/09-09304;2009-09-25;96.80;0.00;111.16
02-N/09-09253;2009-09-24;260.70;0.00;299.38
02-N/09-09168;2009-09-23;80.00;0.00;91.87
02-N/09-09023;2009-09-18;133.25;0.00;153.03
02-N/09-08810;2009-09-15;117.70;0.00;135.16
02-N/09-08724;2009-09-14;351.79;0.00;403.99
02-N/09-08562;2009-09-09;131.25;0.00;150.73
02-N/09-08500;2009-09-08;166.60;0.00;191.32
02-N/09-08451;2009-09-07;487.40;0.00;559.73
02-N/09-08018;2009-08-24;248.28;0.00;285.13
02-B/07-02499;2007-03-30;672.36;0.00;756.54
02-B/07-03001;2007-04-20;-89.00;0.00;-103.24
02-B/07-02018;2007-03-14;65.78;0.00;76.30
02-B/07-03002;2007-04-20;424.65;0.00;482.75
02-B/07-03745;2007-05-21;167.46;0.00;194.25
02-B/07-04497;2007-06-18;75.90;0.00;88.04
02-B/07-00060;2007-01-03;186.40;0.00;216.22
02-B/07-00320;2007-01-15;260.00;0.00;295.57
02-B/07-03025;2007-04-23;107.72;0.00;124.96
02-B/07-05013;2007-07-06;284.36;0.00;323.26
02-B/07-02525;2007-04-02;403.13;0.00;458.28
02-B/07-03522;2007-05-11;461.20;0.00;518.94
02-B/07-00823;2007-02-01;-34.00;0.00;-39.44
02-B/07-00824;2007-02-01;107.36;0.00;124.54
02-B/07-00577;2007-01-23;60.00;0.00;69.60
02-B/07-03281;2007-05-03;49.50;0.00;57.42
02-B/07-01068;2007-02-09;398.40;0.00;452.90
02-B/07-02289;2007-03-23;243.10;0.00;276.36
02-B/07-05276;2007-07-19;164.00;0.00;190.24
02-B/07-00093;2007-01-04;228.00;0.00;259.19
02-B/07-04784;2007-06-27;444.60;0.00;500.26
02-B/07-05535;2007-08-02;494.50;0.00;556.42
02-B/07-02801;2007-04-13;88.00;0.00;102.08
02-B/07-05042;2007-07-09;323.75;0.00;368.04
02-B/07-03554;2007-05-14;148.80;0.00;167.43
02-B/07-03555;2007-05-14;526.37;0.00;592.27
02-B/07-00611;2007-01-24;206.20;0.00;234.41
02-B/07-01592;2007-02-27;224.00;0.00;254.64
02-B/07-05555;2007-08-03;83.10;0.00;94.47
02-B/07-00122;2007-01-05;296.25;0.00;336.78
02-B/07-02082;2007-03-16;258.54;0.00;293.91
02-B/07-04814;2007-06-28;99.50;0.00;115.42
02-B/07-04321;2007-06-11;364.80;0.00;410.48
02-B/07-02098;2007-03-19;130.70;0.00;151.61
02-B/07-05332;2007-07-23;607.80;0.00;683.90
02-B/07-00393;2007-01-16;470.50;0.00;534.86
02-B/07-03591;2007-05-15;71.00;0.00;82.36
02-B/07-02604;2007-04-05;163.00;0.00;189.08
02-B/07-03355;2007-05-07;278.65;0.00;316.77
02-B/07-01137;2007-02-12;123.42;0.00;143.17
02-B/07-05093;2007-07-11;280.40;0.00;318.76
02-B/07-00901;2007-02-05;154.50;0.00;179.22
02-B/07-00415;2007-01-17;189.50;0.00;219.82
02-B/07-04607;2007-06-20;150.00;0.00;174.00
02-B/07-02869;2007-04-17;532.93;0.00;599.65
02-B/07-02376;2007-03-27;351.90;0.00;400.04
02-B/07-04365;2007-06-12;52.20;0.00;60.55
02-B/07-01407;2007-02-21;50.40;0.00;58.46
02-B/07-03865;2007-05-24;516.80;0.00;581.51
02-B/07-04867;2007-07-02;280.50;0.00;318.87
02-B/07-04872;2007-07-02;22.00;0.00;25.52
02-B/07-03142;2007-04-26;454.61;0.00;516.80
02-B/07-03878;2007-05-25;-195.00;0.00;-219.41
02-B/07-01670;2007-03-01;73.36;0.00;85.10
02-B/07-01177;2007-02-13;178.00;0.00;206.48
02-B/07-03395;2007-05-08;161.90;0.00;187.80
02-B/07-03640;2007-05-16;32.40;0.00;37.58
02-B/07-00695;2007-01-26;168.00;0.00;194.88
02-B/07-02158;2007-03-20;73.36;0.00;85.10
02-B/07-03647;2007-05-17;81.60;0.00;94.66
02-B/07-01438;2007-02-22;-89.00;0.00;-103.24
02-B/07-03159;2007-04-27;71.00;0.00;82.36
02-B/07-01440;2007-02-22;614.20;0.00;691.09
02-B/07-01934;2007-03-12;76.70;0.00;88.97
02-B/07-00464;2007-01-18;135.25;0.00;156.89
02-B/07-05405;2007-07-26;362.51;0.00;407.89
02-B/07-05163;2007-07-13;132.00;0.00;153.12
02-B/07-02926;2007-04-18;85.95;0.00;99.70
02-B/07-00969;2007-02-06;384.00;0.00;436.53
02-B/07-00736;2007-01-29;453.30;0.00;515.31
02-B/07-00245;2007-01-11;113.70;0.00;131.89
02-B/07-03199;2007-04-30;279.70;0.00;314.72
02-B/07-01230;2007-02-14;82.70;0.00;95.93
02-B/07-03446;2007-05-09;474.55;0.00;533.96
02-B/07-00748;2007-01-30;166.70;0.00;193.37
02-B/07-04193;2007-06-05;68.30;0.00;79.23
02-B/07-00503;2007-01-19;154.50;0.00;179.22
02-B/07-02708;2007-04-11;100.00;0.00;116.00
02-B/07-00011;2007-01-02;179.75;0.00;208.51
02-B/07-05445;2007-07-30;174.00;0.00;201.84
02-B/07-01978;2007-03-13;246.40;0.00;280.11
02-B/07-04950;2007-07-04;223.50;0.00;254.07
02-B/07-03218;2007-05-02;118.50;0.00;137.46
02-B/07-01002;2007-02-07;165.60;0.00;192.10
02-B/07-03710;2007-05-18;380.60;0.00;432.67
02-B/07-02221;2007-03-22;102.46;0.00;118.85
02-B/07-02724;2007-04-12;-73.36;0.00;-85.10
02-B/07-04470;2007-06-15;-58.00;0.00;-67.28
02-B/07-05221;2007-07-17;174.87;0.00;202.85
02-B/07-04471;2007-06-15;58.00;0.00;67.28
02-B/07-01767;2007-03-06;345.15;0.00;392.37
02-B/07-05727;2007-08-14;854.94;0.00;961.98
02-B/06-04969;2006-11-02;528.90;0.00;595.11
02-B/06-04475;2006-10-13;448.00;0.00;509.29
02-B/06-02535;2006-07-06;392.85;0.00;446.59
02-B/06-04246;2006-10-03;237.50;0.00;269.99
02-B/06-03033;2006-07-31;220.00;0.00;250.10
02-B/06-01798;2006-06-02;102.00;0.00;118.32
02-B/06-05978;2006-12-11;185.00;0.00;214.60
02-B/06-01307;2006-05-15;134.10;0.00;155.56
02-B/06-03274;2006-08-17;314.23;0.00;357.22
02-B/06-00567;2006-04-06;225.80;0.00;256.68
02-B/06-06236;2006-12-20;214.50;0.00;243.84
02-B/06-01074;2006-05-04;234.80;0.00;266.92
02-B/06-04021;2006-09-25;376.40;0.00;423.53
02-B/06-02309;2006-06-26;397.00;0.00;451.31
02-B/06-05001;2006-11-03;279.00;0.00;317.17
02-B/06-04265;2006-10-04;122.30;0.00;139.03
02-B/06-01821;2006-06-05;54.00;0.00;62.64
02-B/06-02813;2006-07-19;551.65;0.00;620.72
02-B/06-01083;2006-05-04;771.30;0.00;867.87
02-B/06-02567;2006-07-07;259.85;0.00;295.39
02-B/06-03787;2006-09-14;1539.25;0.00;1731.96
02-B/06-00836;2006-04-21;165.50;0.00;191.98
02-B/06-01338;2006-05-16;93.25;0.00;108.17
02-B/06-00601;2006-04-07;60.00;0.00;69.60
02-B/06-03314;2006-08-21;283.90;0.00;329.32
02-B/06-02590;2006-07-10;65.12;0.00;75.54
02-B/06-03809;2006-09-15;116.00;0.00;130.52
02-B/06-00858;2006-04-24;445.40;0.00;506.33
02-B/06-01848;2006-06-06;95.85;0.00;111.19
02-B/06-03084;2006-08-02;433.60;0.00;492.92
02-B/06-00862;2006-04-26;426.25;0.00;484.57
02-B/06-04054;2006-09-26;373.60;0.00;424.71
02-B/06-02845;2006-07-20;194.00;0.00;225.04
02-B/06-01121;2006-05-05;18.00;0.00;20.88
02-B/06-05535;2006-11-22;88.30;0.00;102.43
02-B/06-03098;2006-08-03;343.50;0.00;390.49
02-B/06-03336;2006-08-23;191.00;0.00;221.56
02-B/06-05050;2006-11-06;448.50;0.00;509.85
02-B/06-02117;2006-06-16;482.40;0.00;548.39
02-B/06-02614;2006-07-11;518.60;0.00;583.53
02-B/06-03589;2006-09-05;280.80;0.00;319.21
02-B/06-02864;2006-07-21;93.00;0.00;105.72
02-B/06-01138;2006-05-08;485.15;0.00;551.52
02-B/06-03126;2006-08-04;94.50;0.00;109.62
02-B/06-01894;2006-06-07;70.00;0.00;81.20
02-B/06-02143;2006-06-19;115.60;0.00;134.10
02-B/06-03857;2006-09-19;252.20;0.00;286.71
02-B/06-02396;2006-06-28;68.90;0.00;79.92
02-B/06-02645;2006-07-12;159.00;0.00;184.44
02-B/06-05584;2006-11-23;566.60;0.00;637.54
02-B/06-05340;2006-11-15;150.42;0.00;174.49
02-B/06-01667;2006-05-29;130.20;0.00;151.03
02-B/06-01910;2006-06-08;425.25;0.00;483.43
02-B/06-04850;2006-10-27;-185.00;0.00;-210.31
02-B/06-01423;2006-05-18;33.00;0.00;38.28
02-B/06-03632;2006-09-07;326.52;0.00;371.19
02-B/06-01428;2006-05-19;433.65;0.00;492.98
02-B/06-06102;2006-12-14;46.04;0.00;53.41
02-B/06-01183;2006-05-09;88.00;0.00;102.08
02-B/06-05108;2006-11-07;257.90;0.00;293.18
02-B/06-01677;2006-05-30;155.00;0.00;179.80
02-B/06-05855;2006-12-04;212.50;0.00;241.57
02-B/06-00687;2006-04-12;111.35;0.00;129.17
02-B/06-00940;2006-04-27;313.80;0.00;356.72
02-B/06-02670;2006-07-13;92.00;0.00;106.72
02-B/06-03892;2006-09-20;-99.00;0.00;-114.84
02-B/06-06368;2006-12-27;426.92;0.00;480.37
02-B/06-05122;2006-11-08;214.35;0.00;241.19
02-B/06-04639;2006-10-19;487.10;0.00;548.09
02-B/06-01210;2006-05-10;129.38;0.00;150.08
02-B/06-03907;2006-09-20;99.00;0.00;114.84
02-B/06-04645;2006-10-20;79.60;0.00;90.49
02-B/06-02456;2006-06-30;171.70;0.00;195.19
02-B/06-01960;2006-06-09;64.70;0.00;75.05
02-B/06-01476;2006-05-22;138.95;0.00;161.18
02-B/06-02215;2006-06-21;221.30;0.00;251.57
02-B/06-04417;2006-10-10;215.00;0.00;244.41
02-B/06-00484;2006-04-03;206.00;0.00;234.18
02-B/06-01724;2006-05-31;265.00;0.00;301.25
02-B/06-04667;2006-10-23;-0.40;0.00;-0.46
02-B/06-05907;2006-12-05;717.25;0.00;807.05
02-B/06-03446;2006-08-29;225.20;0.00;256.01
02-B/06-02477;2006-07-03;278.40;0.00;316.48
02-B/06-04193;2006-10-02;798.57;0.00;898.55
02-B/06-01253;2006-05-11;104.00;0.00;120.64
02-B/06-03219;2006-08-10;202.00;0.00;229.63
02-B/06-03711;2006-09-12;162.00;0.00;187.92
02-B/06-01007;2006-05-02;228.20;0.00;259.42
02-B/06-05434;2006-11-17;108.41;0.00;125.76
02-B/06-00767;2006-04-19;298.90;0.00;339.79
02-B/06-03964;2006-09-21;333.50;0.00;379.12
02-B/06-01519;2006-05-23;224.40;0.00;255.10
02-B/06-00526;2006-04-04;444.90;0.00;505.76
02-B/06-05692;2006-11-27;372.14;0.00;423.05
02-B/06-05199;2006-11-10;474.40;0.00;533.80
02-B/06-06199;2006-12-19;229.75;0.00;261.19
02-N/09-07413;2009-07-29;144.26;0.00;165.67
02-N/09-07398;2009-07-28;289.40;0.00;332.35
